timestamp,session_id,request_tokens,response_tokens,model,elapsed_time
0.00,s0,820,180,gpt-4o-mini,2.0
0.12,s1,4100,920,gpt-4o,5.8
0.20,s2,9600,1500,gpt-4o-reasoning,8.5
0.36,s3,1450,260,gpt-4o-mini,2.4
1.05,s4,2800,760,gpt-4o,4.9
1.10,s5,12200,2100,gpt-4o-reasoning,10.6
1.16,s6,5100,640,gpt-4o,5.0
2.40,s7,700,160,gpt-4o-mini,1.9
2.58,s8,18000,1800,gpt-4o-reasoning,12.2
2.66,s9,3400,430,gpt-4o,4.2
3.75,s10,2300,1100,gpt-4o,5.3
3.82,s11,8600,720,gpt-4o,6.9
3.90,s12,1160,240,gpt-4o-mini,2.2
5.20,s13,15400,2300,gpt-4o-reasoning,13.4
5.26,s14,4200,850,gpt-4o,5.7
5.40,s15,780,210,gpt-4o-mini,2.1
6.70,s16,6500,1340,gpt-4o-reasoning,8.0
6.82,s17,3100,520,gpt-4o,4.6
7.95,s18,920,190,gpt-4o-mini,2.0
8.05,s19,10100,1600,gpt-4o-reasoning,9.4
