scenario,policy,n,weighted_completed_value_mean,weighted_completed_value_sem,weighted_goodput_rate_mean,weighted_goodput_rate_sem,weighted_goodput_ratio_mean,weighted_goodput_ratio_sem,sla_success_ratio_mean,sla_success_ratio_sem,completion_ratio_mean,completion_ratio_sem,p95_latency_mean,p95_latency_sem,avg_latency_mean,avg_latency_sem,avg_ready_wait_mean,avg_ready_wait_sem,rejected_mean,rejected_sem,dropped_mean,dropped_sem
trace_driven,random,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.027777777777777773,9.916247034072876,0.2102988719940182,9.816598892211914,0.30994701385498047,0.9273576587438583,0.025941833853721615,13.0,0.0,3.5,0.5
trace_driven,edf,2.0,4.2,0.0,0.23309928334860214,0.004882053710885112,0.058823529411764705,0.0,0.05555555555555555,0.0,0.1388888888888889,0.027777777777777773,10.513706243038177,0.14227374792099035,9.210895419120789,0.10708725452423094,0.5410321801900864,0.11456425487995148,13.0,0.0,2.5,0.5
trace_driven,online_greedy,2.0,4.2,0.0,0.23309928334860214,0.004882053710885112,0.058823529411764705,0.0,0.05555555555555555,0.0,0.1388888888888889,0.027777777777777773,10.513706243038177,0.14227374792099035,9.210895419120789,0.10708725452423094,0.5410321801900864,0.11456425487995148,13.0,0.0,2.5,0.5
trace_driven,dag_oracle_greedy,2.0,4.2,0.0,0.24180405848267497,0.015501724735930672,0.058823529411764705,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,9.418245685100555,0.0899935841560362,8.551191687583923,0.054688096046447754,0.4516453444957733,0.025661557912826538,13.0,0.0,3.0,0.0
trace_driven,vanilla_a2c,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,9.686210632324219,0.06439208984375,9.686210632324219,0.06439208984375,0.694856584072113,0.017332792282104492,13.0,0.0,4.0,0.0
trace_driven,wpr_no_progress,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0
trace_driven,wpr_no_demand,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,8.93882703781128,0.13962793350219727,8.93882703781128,0.13962793350219727,0.36610114574432373,0.010248661041259764,13.0,0.0,4.0,0.0
trace_driven,wpr_no_residency,2.0,4.2,0.0,0.22544712084145965,0.0003697306103649378,0.058823529411764705,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,8.326091289520264,0.24118089675903318,8.326091289520264,0.24118089675903318,0.4899296462535858,0.04836586117744445,13.0,0.0,4.0,0.0
trace_driven,wpr_no_shaping,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0
trace_driven,wpr_a2c,2.0,4.2,0.0,0.22634439004583248,0.008502155666528259,0.058823529411764705,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,8.072432041168213,0.03682374954223633,8.072432041168213,0.03682374954223633,0.2914120554924011,0.00797128677368164,13.0,0.0,4.0,0.0
